image,label_file,class_id,diameter_pixels,real_diameter,unit
流程_36340.jpg,流程_36340.txt,0,61.82,28.10,um
流程_36340.jpg,流程_36340.txt,0,64.46,29.30,um
流程_36340.jpg,流程_36340.txt,1,56.19,25.54,um
流程_36340.jpg,流程_36340.txt,0,63.48,28.85,um
流程_36340.jpg,流程_36340.txt,0,64.80,29.45,um
流程_36340.jpg,流程_36340.txt,0,55.23,25.10,um
流程_36340.jpg,流程_36340.txt,0,61.71,28.05,um
流程_36340.jpg,流程_36340.txt,1,54.84,24.93,um
流程_36340.jpg,流程_36340.txt,0,50.86,23.12,um
流程_36340.jpg,流程_36340.txt,0,50.95,23.16,um
流程_36340.jpg,流程_36340.txt,0,65.74,29.88,um
流程_36340.jpg,流程_36340.txt,0,75.23,34.20,um
流程_36340.jpg,流程_36340.txt,0,53.90,24.50,um
流程_36340.jpg,流程_36340.txt,1,54.47,24.76,um
流程_36340.jpg,流程_36340.txt,1,50.42,22.92,um
流程_36340.jpg,流程_36340.txt,0,59.60,27.09,um
流程_36340.jpg,流程_36340.txt,0,51.64,23.47,um
流程_36340.jpg,流程_36340.txt,0,72.77,33.08,um
流程_36340.jpg,流程_36340.txt,1,51.23,23.28,um
流程_36340.jpg,流程_36340.txt,1,53.78,24.45,um
流程_36340.jpg,流程_36340.txt,0,82.65,37.57,um
流程_36340.jpg,流程_36340.txt,1,47.99,21.81,um
流程_36340.jpg,流程_36340.txt,1,56.48,25.67,um
流程_36340.jpg,流程_36340.txt,0,69.55,31.62,um
流程_36340.jpg,流程_36340.txt,0,60.36,27.43,um
流程_36340.jpg,流程_36340.txt,1,59.12,26.87,um
流程_36340.jpg,流程_36340.txt,0,60.42,27.46,um
流程_36340.jpg,流程_36340.txt,0,48.67,22.12,um
流程_36340.jpg,流程_36340.txt,0,68.03,30.92,um
流程_36340.jpg,流程_36340.txt,1,52.15,23.70,um
流程_36340.jpg,流程_36340.txt,1,44.34,20.16,um
流程_36340.jpg,流程_36340.txt,0,52.76,23.98,um
流程_36340.jpg,流程_36340.txt,1,72.03,32.74,um
流程_36340.jpg,流程_36340.txt,1,54.12,24.60,um
流程_36340.jpg,流程_36340.txt,1,46.69,21.22,um
流程_36340.jpg,流程_36340.txt,1,49.01,22.28,um
流程_36340.jpg,流程_36340.txt,0,64.42,29.28,um
流程_36340.jpg,流程_36340.txt,1,56.57,25.71,um
流程_36340.jpg,流程_36340.txt,1,44.27,20.12,um
流程_36340.jpg,流程_36340.txt,0,75.54,34.33,um
流程_36340.jpg,流程_36340.txt,1,54.80,24.91,um
流程_36340.jpg,流程_36340.txt,1,56.23,25.56,um
流程_36340.jpg,流程_36340.txt,1,56.73,25.79,um
流程_36340.jpg,流程_36340.txt,1,54.26,24.66,um
流程_36340.jpg,流程_36340.txt,0,57.49,26.13,um
流程_36340.jpg,流程_36340.txt,0,63.83,29.01,um
流程_36340.jpg,流程_36340.txt,1,60.61,27.55,um
流程_36340.jpg,流程_36340.txt,1,42.27,19.21,um
流程_36340.jpg,流程_36340.txt,1,65.36,29.71,um
流程_36340.jpg,流程_36340.txt,0,62.85,28.57,um
流程_36340.jpg,流程_36340.txt,1,46.24,21.02,um
流程_36340.jpg,流程_36340.txt,0,49.62,22.56,um
流程_36340.jpg,流程_36340.txt,1,50.59,23.00,um
流程_36340.jpg,流程_36340.txt,0,60.70,27.59,um
流程_36340.jpg,流程_36340.txt,1,49.84,22.66,um
流程_36340.jpg,流程_36340.txt,1,61.80,28.09,um
流程_36340.jpg,流程_36340.txt,1,53.81,24.46,um
流程_36340.jpg,流程_36340.txt,0,58.99,26.82,um
流程_36340.jpg,流程_36340.txt,1,56.24,25.56,um
流程_36340.jpg,流程_36340.txt,1,58.31,26.50,um
流程_36340.jpg,流程_36340.txt,1,34.48,15.67,um
流程_36340.jpg,流程_36340.txt,1,50.84,23.11,um
流程_36340.jpg,流程_36340.txt,0,57.92,26.33,um
流程_36340.jpg,流程_36340.txt,1,31.77,14.44,um
流程_36340.jpg,流程_36340.txt,0,70.21,31.92,um
流程_36340.jpg,流程_36340.txt,1,52.64,23.93,um
流程_36340.jpg,流程_36340.txt,1,59.97,27.26,um
流程_36340.jpg,流程_36340.txt,1,28.02,12.74,um
流程_36340.jpg,流程_36340.txt,1,49.82,22.64,um
流程_36340.jpg,流程_36340.txt,1,55.33,25.15,um
流程_36340.jpg,流程_36340.txt,0,37.13,16.88,um
流程_36340.jpg,流程_36340.txt,1,42.70,19.41,um
流程_36340.jpg,流程_36340.txt,0,67.78,30.81,um
流程_36340.jpg,流程_36340.txt,1,53.39,24.27,um
流程_36340.jpg,流程_36340.txt,1,40.71,18.50,um
流程_36340.jpg,流程_36340.txt,0,51.45,23.39,um
流程_36340.jpg,流程_36340.txt,1,33.51,15.23,um
流程_36340.jpg,流程_36340.txt,0,55.84,25.38,um
流程_36340.jpg,流程_36340.txt,1,36.38,16.53,um
流程_36340.jpg,流程_36340.txt,1,55.28,25.13,um
流程_36341.jpg,流程_36341.txt,0,67.26,30.57,um
流程_36341.jpg,流程_36341.txt,0,59.77,27.17,um
流程_36341.jpg,流程_36341.txt,0,69.17,31.44,um
流程_36341.jpg,流程_36341.txt,0,61.97,28.17,um
流程_36341.jpg,流程_36341.txt,0,59.93,27.24,um
流程_36341.jpg,流程_36341.txt,0,62.27,28.30,um
流程_36341.jpg,流程_36341.txt,0,54.19,24.63,um
流程_36341.jpg,流程_36341.txt,0,68.54,31.15,um
流程_36341.jpg,流程_36341.txt,0,64.38,29.26,um
流程_36341.jpg,流程_36341.txt,0,62.13,28.24,um
流程_36341.jpg,流程_36341.txt,0,68.38,31.08,um
流程_36341.jpg,流程_36341.txt,0,61.85,28.11,um
流程_36341.jpg,流程_36341.txt,0,65.07,29.58,um
流程_36341.jpg,流程_36341.txt,0,50.21,22.82,um
流程_36341.jpg,流程_36341.txt,0,59.35,26.98,um
流程_36341.jpg,流程_36341.txt,0,60.47,27.49,um
流程_36341.jpg,流程_36341.txt,0,54.14,24.61,um
流程_36341.jpg,流程_36341.txt,0,64.57,29.35,um
流程_36341.jpg,流程_36341.txt,1,53.74,24.43,um
流程_36341.jpg,流程_36341.txt,1,59.10,26.86,um
流程_36341.jpg,流程_36341.txt,0,61.08,27.76,um
流程_36341.jpg,流程_36341.txt,0,47.30,21.50,um
流程_36341.jpg,流程_36341.txt,1,56.34,25.61,um
流程_36341.jpg,流程_36341.txt,0,52.15,23.70,um
流程_36341.jpg,流程_36341.txt,1,68.83,31.28,um
流程_36341.jpg,流程_36341.txt,0,71.84,32.66,um
流程_36341.jpg,流程_36341.txt,1,49.64,22.56,um
流程_36341.jpg,流程_36341.txt,1,56.66,25.75,um
流程_36341.jpg,流程_36341.txt,0,53.35,24.25,um
流程_36341.jpg,流程_36341.txt,1,54.50,24.77,um
流程_36341.jpg,流程_36341.txt,0,51.32,23.33,um
流程_36341.jpg,流程_36341.txt,0,57.58,26.17,um
流程_36341.jpg,流程_36341.txt,1,57.73,26.24,um
流程_36341.jpg,流程_36341.txt,1,61.66,28.03,um
流程_36341.jpg,流程_36341.txt,1,56.24,25.57,um
流程_36341.jpg,流程_36341.txt,0,53.95,24.52,um
流程_36341.jpg,流程_36341.txt,0,60.33,27.42,um
流程_36341.jpg,流程_36341.txt,1,53.21,24.19,um
流程_36341.jpg,流程_36341.txt,1,51.24,23.29,um
流程_36341.jpg,流程_36341.txt,0,50.65,23.02,um
流程_36341.jpg,流程_36341.txt,1,58.83,26.74,um
流程_36341.jpg,流程_36341.txt,1,51.96,23.62,um
流程_36341.jpg,流程_36341.txt,1,42.33,19.24,um
流程_36341.jpg,流程_36341.txt,0,50.84,23.11,um
流程_36341.jpg,流程_36341.txt,1,61.89,28.13,um
流程_36341.jpg,流程_36341.txt,0,58.46,26.57,um
流程_36341.jpg,流程_36341.txt,1,52.77,23.99,um
流程_36341.jpg,流程_36341.txt,1,53.85,24.48,um
流程_36341.jpg,流程_36341.txt,0,56.31,25.60,um
流程_36341.jpg,流程_36341.txt,0,57.78,26.26,um
流程_36341.jpg,流程_36341.txt,0,59.85,27.20,um
流程_36341.jpg,流程_36341.txt,0,66.83,30.38,um
流程_36341.jpg,流程_36341.txt,1,47.39,21.54,um
流程_36341.jpg,流程_36341.txt,0,72.51,32.96,um
流程_36341.jpg,流程_36341.txt,1,63.01,28.64,um
流程_36341.jpg,流程_36341.txt,1,52.91,24.05,um
流程_36341.jpg,流程_36341.txt,0,51.85,23.57,um
流程_36341.jpg,流程_36341.txt,1,60.51,27.51,um
流程_36341.jpg,流程_36341.txt,1,52.21,23.73,um
流程_36341.jpg,流程_36341.txt,0,49.83,22.65,um
流程_36341.jpg,流程_36341.txt,0,73.41,33.37,um
流程_36341.jpg,流程_36341.txt,1,52.27,23.76,um
流程_36341.jpg,流程_36341.txt,1,51.76,23.53,um
流程_36341.jpg,流程_36341.txt,0,69.07,31.39,um
流程_36341.jpg,流程_36341.txt,1,52.38,23.81,um
流程_36341.jpg,流程_36341.txt,1,52.11,23.69,um
流程_36341.jpg,流程_36341.txt,1,43.50,19.77,um
流程_36341.jpg,流程_36341.txt,1,61.62,28.01,um
流程_36341.jpg,流程_36341.txt,1,49.38,22.44,um
流程_36341.jpg,流程_36341.txt,0,57.78,26.26,um
流程_36341.jpg,流程_36341.txt,1,54.62,24.83,um
流程_36341.jpg,流程_36341.txt,0,89.78,40.81,um
流程_36341.jpg,流程_36341.txt,0,56.88,25.85,um
流程_36341.jpg,流程_36341.txt,0,62.42,28.37,um
流程_36341.jpg,流程_36341.txt,1,56.48,25.67,um
流程_36341.jpg,流程_36341.txt,1,46.28,21.04,um
流程_36341.jpg,流程_36341.txt,0,44.84,20.38,um
流程_36341.jpg,流程_36341.txt,1,51.61,23.46,um
流程_36341.jpg,流程_36341.txt,0,60.81,27.64,um
流程_36341.jpg,流程_36341.txt,1,52.79,23.99,um
流程_36341.jpg,流程_36341.txt,0,58.80,26.73,um
流程_36341.jpg,流程_36341.txt,1,41.24,18.75,um
流程_36341.jpg,流程_36341.txt,1,58.56,26.62,um
流程_36341.jpg,流程_36341.txt,1,55.05,25.02,um
流程_36341.jpg,流程_36341.txt,0,51.45,23.39,um
流程_36341.jpg,流程_36341.txt,1,40.51,18.42,um
流程_36341.jpg,流程_36341.txt,0,85.33,38.78,um
流程_36341.jpg,流程_36341.txt,0,65.24,29.65,um
流程_36341.jpg,流程_36341.txt,0,58.93,26.79,um
流程_36341.jpg,流程_36341.txt,1,61.82,28.10,um
流程_36341.jpg,流程_36341.txt,0,50.08,22.76,um
流程_36341.jpg,流程_36341.txt,0,62.02,28.19,um
流程_36341.jpg,流程_36341.txt,1,53.08,24.13,um
流程_36341.jpg,流程_36341.txt,1,51.90,23.59,um
流程_36341.jpg,流程_36341.txt,1,55.88,25.40,um
流程_36341.jpg,流程_36341.txt,0,41.82,19.01,um
流程_36341.jpg,流程_36341.txt,1,43.73,19.88,um
流程_36341.jpg,流程_36341.txt,0,56.80,25.82,um
流程_36341.jpg,流程_36341.txt,1,37.75,17.16,um
流程_36341.jpg,流程_36341.txt,0,56.75,25.80,um
流程_36341.jpg,流程_36341.txt,1,57.06,25.93,um
流程_36341.jpg,流程_36341.txt,1,49.62,22.56,um
流程_36341.jpg,流程_36341.txt,0,56.76,25.80,um
流程_36341.jpg,流程_36341.txt,0,55.69,25.31,um
流程_36341.jpg,流程_36341.txt,1,48.42,22.01,um
流程_36341.jpg,流程_36341.txt,0,61.29,27.86,um
流程_36341.jpg,流程_36341.txt,1,50.87,23.12,um
流程_36341.jpg,流程_36341.txt,1,49.27,22.40,um
流程_36341.jpg,流程_36341.txt,1,55.70,25.32,um
流程_36341.jpg,流程_36341.txt,1,51.70,23.50,um
流程_36341.jpg,流程_36341.txt,1,31.04,14.11,um
流程_36341.jpg,流程_36341.txt,1,50.50,22.95,um
流程_36341.jpg,流程_36341.txt,1,34.18,15.54,um
流程_36341.jpg,流程_36341.txt,1,50.27,22.85,um
流程_36341.jpg,流程_36341.txt,1,56.78,25.81,um
流程_36341.jpg,流程_36341.txt,1,60.69,27.59,um
流程_36341.jpg,流程_36341.txt,1,41.20,18.73,um
流程_36341.jpg,流程_36341.txt,0,45.97,20.90,um
流程_36341.jpg,流程_36341.txt,1,44.50,20.23,um
流程_36341.jpg,流程_36341.txt,1,31.13,14.15,um
流程_36341.jpg,流程_36341.txt,1,49.11,22.32,um
流程_36341.jpg,流程_36341.txt,1,56.47,25.67,um
流程_36341.jpg,流程_36341.txt,1,39.36,17.89,um
流程_36341.jpg,流程_36341.txt,1,60.04,27.29,um
流程_36341.jpg,流程_36341.txt,0,46.16,20.98,um
流程_36341.jpg,流程_36341.txt,1,29.54,13.43,um
流程_36341.jpg,流程_36341.txt,1,33.67,15.31,um
流程_36341.jpg,流程_36341.txt,0,47.78,21.72,um
流程_36341.jpg,流程_36341.txt,1,32.91,14.96,um
流程_36341.jpg,流程_36341.txt,1,56.88,25.86,um
流程_36341.jpg,流程_36341.txt,0,44.64,20.29,um
流程_36341.jpg,流程_36341.txt,1,26.81,12.19,um
流程_36342.jpg,流程_36342.txt,0,66.61,30.28,um
流程_36342.jpg,流程_36342.txt,0,69.21,31.46,um
流程_36342.jpg,流程_36342.txt,0,65.41,29.73,um
流程_36342.jpg,流程_36342.txt,0,68.48,31.13,um
流程_36342.jpg,流程_36342.txt,0,53.73,24.42,um
流程_36342.jpg,流程_36342.txt,0,65.32,29.69,um
流程_36342.jpg,流程_36342.txt,0,57.99,26.36,um
流程_36342.jpg,流程_36342.txt,0,66.25,30.11,um
流程_36342.jpg,流程_36342.txt,0,49.93,22.70,um
流程_36342.jpg,流程_36342.txt,0,73.18,33.27,um
流程_36342.jpg,流程_36342.txt,0,70.85,32.21,um
流程_36342.jpg,流程_36342.txt,1,65.10,29.59,um
流程_36342.jpg,流程_36342.txt,0,62.23,28.28,um
流程_36342.jpg,流程_36342.txt,0,60.15,27.34,um
流程_36342.jpg,流程_36342.txt,0,64.49,29.31,um
流程_36342.jpg,流程_36342.txt,0,64.06,29.12,um
流程_36342.jpg,流程_36342.txt,0,65.52,29.78,um
流程_36342.jpg,流程_36342.txt,0,58.56,26.62,um
流程_36342.jpg,流程_36342.txt,0,60.87,27.67,um
流程_36342.jpg,流程_36342.txt,0,51.73,23.51,um
流程_36342.jpg,流程_36342.txt,1,75.97,34.53,um
流程_36342.jpg,流程_36342.txt,0,67.59,30.72,um
流程_36342.jpg,流程_36342.txt,0,54.70,24.86,um
流程_36342.jpg,流程_36342.txt,1,62.40,28.37,um
流程_36342.jpg,流程_36342.txt,0,60.39,27.45,um
流程_36342.jpg,流程_36342.txt,0,61.14,27.79,um
流程_36342.jpg,流程_36342.txt,0,58.40,26.54,um
流程_36342.jpg,流程_36342.txt,1,72.15,32.80,um
流程_36342.jpg,流程_36342.txt,0,50.34,22.88,um
流程_36342.jpg,流程_36342.txt,1,58.74,26.70,um
流程_36342.jpg,流程_36342.txt,1,64.07,29.12,um
流程_36342.jpg,流程_36342.txt,1,63.77,28.99,um
流程_36342.jpg,流程_36342.txt,0,67.18,30.53,um
流程_36342.jpg,流程_36342.txt,1,56.23,25.56,um
流程_36342.jpg,流程_36342.txt,1,56.31,25.60,um
流程_36342.jpg,流程_36342.txt,1,41.36,18.80,um
流程_36342.jpg,流程_36342.txt,1,56.05,25.48,um
流程_36342.jpg,流程_36342.txt,1,56.06,25.48,um
流程_36342.jpg,流程_36342.txt,1,55.29,25.13,um
流程_36342.jpg,流程_36342.txt,1,55.80,25.36,um
流程_36342.jpg,流程_36342.txt,1,47.81,21.73,um
流程_36342.jpg,流程_36342.txt,1,51.79,23.54,um
流程_36342.jpg,流程_36342.txt,1,53.78,24.44,um
流程_36342.jpg,流程_36342.txt,1,69.78,31.72,um
流程_36342.jpg,流程_36342.txt,1,62.95,28.61,um
流程_36342.jpg,流程_36342.txt,1,58.78,26.72,um
流程_36342.jpg,流程_36342.txt,1,35.74,16.25,um
流程_36342.jpg,流程_36342.txt,1,57.29,26.04,um
流程_36342.jpg,流程_36342.txt,1,44.21,20.10,um
流程_36342.jpg,流程_36342.txt,1,55.00,25.00,um
流程_36342.jpg,流程_36342.txt,0,53.08,24.13,um
流程_36342.jpg,流程_36342.txt,1,30.91,14.05,um
流程_36342.jpg,流程_36342.txt,1,71.85,32.66,um
流程_36342.jpg,流程_36342.txt,1,39.47,17.94,um
流程_36342.jpg,流程_36342.txt,1,49.66,22.57,um
流程_36342.jpg,流程_36342.txt,1,43.01,19.55,um
流程_36342.jpg,流程_36342.txt,0,64.36,29.25,um
流程_36342.jpg,流程_36342.txt,1,38.60,17.55,um
流程_36342.jpg,流程_36342.txt,1,64.19,29.18,um
流程_36343.jpg,流程_36343.txt,0,63.95,29.07,um
流程_36343.jpg,流程_36343.txt,0,63.21,28.73,um
流程_36343.jpg,流程_36343.txt,0,64.55,29.34,um
流程_36343.jpg,流程_36343.txt,0,64.92,29.51,um
流程_36343.jpg,流程_36343.txt,0,63.99,29.09,um
流程_36343.jpg,流程_36343.txt,0,60.34,27.43,um
流程_36343.jpg,流程_36343.txt,0,76.17,34.62,um
流程_36343.jpg,流程_36343.txt,0,62.16,28.25,um
流程_36343.jpg,流程_36343.txt,0,64.90,29.50,um
流程_36343.jpg,流程_36343.txt,0,67.32,30.60,um
流程_36343.jpg,流程_36343.txt,0,61.11,27.78,um
流程_36343.jpg,流程_36343.txt,0,60.22,27.37,um
流程_36343.jpg,流程_36343.txt,0,50.54,22.97,um
流程_36343.jpg,流程_36343.txt,1,53.26,24.21,um
流程_36343.jpg,流程_36343.txt,0,62.10,28.23,um
流程_36343.jpg,流程_36343.txt,0,53.01,24.10,um
流程_36343.jpg,流程_36343.txt,1,59.21,26.91,um
流程_36343.jpg,流程_36343.txt,1,52.83,24.01,um
流程_36343.jpg,流程_36343.txt,0,73.76,33.53,um
流程_36343.jpg,流程_36343.txt,1,55.50,25.23,um
流程_36343.jpg,流程_36343.txt,0,63.93,29.06,um
流程_36343.jpg,流程_36343.txt,0,60.55,27.52,um
流程_36343.jpg,流程_36343.txt,0,67.10,30.50,um
流程_36343.jpg,流程_36343.txt,0,81.73,37.15,um
流程_36343.jpg,流程_36343.txt,1,58.22,26.46,um
流程_36343.jpg,流程_36343.txt,1,54.51,24.78,um
流程_36343.jpg,流程_36343.txt,0,72.62,33.01,um
流程_36343.jpg,流程_36343.txt,1,55.49,25.22,um
流程_36343.jpg,流程_36343.txt,0,60.10,27.32,um
流程_36343.jpg,流程_36343.txt,0,49.96,22.71,um
流程_36343.jpg,流程_36343.txt,0,65.76,29.89,um
流程_36343.jpg,流程_36343.txt,0,66.44,30.20,um
流程_36343.jpg,流程_36343.txt,0,57.93,26.33,um
流程_36343.jpg,流程_36343.txt,1,64.61,29.37,um
流程_36343.jpg,流程_36343.txt,0,61.24,27.84,um
流程_36343.jpg,流程_36343.txt,0,58.98,26.81,um
流程_36343.jpg,流程_36343.txt,1,57.95,26.34,um
流程_36343.jpg,流程_36343.txt,0,65.06,29.57,um
流程_36343.jpg,流程_36343.txt,0,59.63,27.10,um
流程_36343.jpg,流程_36343.txt,0,62.12,28.24,um
流程_36343.jpg,流程_36343.txt,1,57.49,26.13,um
流程_36343.jpg,流程_36343.txt,0,54.05,24.57,um
流程_36343.jpg,流程_36343.txt,1,52.88,24.04,um
流程_36343.jpg,流程_36343.txt,1,52.13,23.70,um
流程_36343.jpg,流程_36343.txt,1,49.20,22.36,um
流程_36343.jpg,流程_36343.txt,0,65.10,29.59,um
流程_36343.jpg,流程_36343.txt,0,60.79,27.63,um
流程_36343.jpg,流程_36343.txt,0,59.82,27.19,um
流程_36343.jpg,流程_36343.txt,1,56.71,25.78,um
流程_36343.jpg,流程_36343.txt,1,56.21,25.55,um
流程_36343.jpg,流程_36343.txt,1,54.85,24.93,um
流程_36343.jpg,流程_36343.txt,0,64.43,29.28,um
流程_36343.jpg,流程_36343.txt,0,61.66,28.03,um
流程_36343.jpg,流程_36343.txt,0,49.60,22.54,um
流程_36343.jpg,流程_36343.txt,0,61.45,27.93,um
流程_36343.jpg,流程_36343.txt,0,63.65,28.93,um
流程_36343.jpg,流程_36343.txt,0,60.14,27.34,um
流程_36343.jpg,流程_36343.txt,1,58.27,26.49,um
流程_36343.jpg,流程_36343.txt,1,54.31,24.69,um
流程_36343.jpg,流程_36343.txt,1,57.90,26.32,um
流程_36343.jpg,流程_36343.txt,1,56.75,25.79,um
流程_36343.jpg,流程_36343.txt,0,61.24,27.84,um
流程_36343.jpg,流程_36343.txt,1,55.43,25.20,um
流程_36343.jpg,流程_36343.txt,0,66.72,30.33,um
流程_36343.jpg,流程_36343.txt,1,50.04,22.74,um
流程_36343.jpg,流程_36343.txt,1,58.55,26.61,um
流程_36343.jpg,流程_36343.txt,1,58.91,26.78,um
流程_36343.jpg,流程_36343.txt,1,45.14,20.52,um
流程_36343.jpg,流程_36343.txt,0,49.17,22.35,um
流程_36343.jpg,流程_36343.txt,0,54.16,24.62,um
流程_36343.jpg,流程_36343.txt,0,73.72,33.51,um
流程_36343.jpg,流程_36343.txt,1,59.83,27.19,um
流程_36343.jpg,流程_36343.txt,1,49.17,22.35,um
流程_36343.jpg,流程_36343.txt,1,46.03,20.92,um
流程_36343.jpg,流程_36343.txt,1,49.70,22.59,um
流程_36343.jpg,流程_36343.txt,1,87.01,39.55,um
流程_36343.jpg,流程_36343.txt,1,53.16,24.17,um
流程_36343.jpg,流程_36343.txt,0,50.22,22.83,um
流程_36343.jpg,流程_36343.txt,0,70.39,32.00,um
流程_36343.jpg,流程_36343.txt,0,55.44,25.20,um
流程_36343.jpg,流程_36343.txt,0,53.09,24.13,um
流程_36343.jpg,流程_36343.txt,1,40.14,18.24,um
